UserId,Password,Country,CustomerSet,Language,Region,Segment,CategoryID,	SKU,	DisplayCurrency
PROD,	Y,			US,		RC1000225,	EN,		US,		MID,	2999,	A8632896,		USD
PROD,	N,			BR,		RC1369750,	EN,		LA,		MID,	2999,	008-0390,		USD
PROD,	n,			BR,		RC1330821,	EN,		LA,		MID,	7564,	520-AAIM,		USD
PROD,	N,			ZA,		RC1379313,	EN,		EMEA,	MID,	2999,	A8632896,		USD
G2,		N,			US,		RC1000225,	EN,		US,		Mid,	2999,	A4740536,		USD
G2,		n,			US,		RC1297802,	EN,		US,		Mid,	2999,	A4740536,		USD
G2,		N,			CN,		RC1363975,	EN,		AP,		FED,	2999,	A8632896,		USD
G2,		N,			MX,		RC1364024,	ES,		LA,		MB,		4009,	A8632896,		USD
G2,		N,			BR,		RC1363282,	PT,		LA,		MB,		4009,	225-4015,		USD 
G2,		n,			CN,		RC1363398,	EN,		AP,		MB,		2999,	210-31233,		CNY    
G2,		N,			US,		RC1360968,	EN,		US,		MID,	2999,	A7838359,		USD	 
G2,		n,			US,		RC1360968,	EN,		US,		MID,	2999,	A7838359,		USD
G1,		N,			US,		RC1002171,	EN,		US,		MID,	2999,   A3838149,		USD
	 
